raw_ticker,identifier,ark_name,ticker,cik,sec_name,resolution,evidence,observed_forms,funds,n_10k,n_10q,status
2618,BNMBPD9,JD LOGISTICS INC,2618,,,no_verified_sec_match,https://www.sec.gov/Archives/edgar/data/1549802/000119312521043418/d131620dex991.htm,,ARKX,0,0,no_verified_sec_match
4689,6084848,LY CORP,4689,,,no_verified_sec_match,https://www2.jpx.co.jp/tseHpFront/StockSearch.do?callJorEFlg=1&topSearchStr=4689,,ARKF,0,0,no_verified_sec_match
6301,6496584,KOMATSU LTD,6301,0000056594,KOMATSU LTD,verified,https://data.sec.gov/submissions/CIK0000056594.json,,ARKX,0,0,no_10x_filings
ABNB,009066101,AIRBNB INC-CLASS A,ABNB,0001559720,"Airbnb, Inc.",verified,https://data.sec.gov/submissions/CIK0001559720.json,"10-K, 10-Q, 144, 144/A, 3, 4, 4/A, 424B7, 5, 8-K, CORRESP, DEF 14A, DEFA14A, PRE 14A, PX14A6G, S-3ASR, S-8, SC 13G, SC 13G/A, SCHEDULE 13G/A, UPLOAD",ARKF|ARKW,5,15,domestic_filer
ABSI,00091E109,ABSCI CORP,ABSI,0001672688,Absci Corp,verified,https://data.sec.gov/submissions/CIK0001672688.json,"10-K, 10-K/A, 10-Q, 144, 3, 4, 4/A, 424B3, 424B4, 424B5, 5, 8-A12B, 8-K, 8-K/A, ARS, CERT, CORRESP, D, D/A, DEF 14A, DEFA14A, DRS, DRS/A, DRSLTR, EFFECT, PRE 14A, S-1, S-1/A, S-3, S-8, SC 13D, SC 13D/A, SC 13G, SC 13G/A, SCHEDULE 13D/A, SCHEDULE 13G, SCHEDULE 13G/A, SEC STAFF LETTER, UPLOAD",ARKG,4,14,domestic_filer
ACHR,03945R102,ARCHER AVIATION INC-A,ACHR,0001824502,Archer Aviation Inc.,verified,https://data.sec.gov/submissions/CIK0001824502.json,"10-K, 10-K/A, 10-Q, 10-Q/A, 144, 144/A, 25-NSE, 3, 3/A, 4, 4/A, 424B3, 424B5, 424B7, 424B8, 425, 8-K, 8-K/A, ARS, CORRESP, DEF 14A, DEFA14A, EFFECT, NT 10-Q, POS AM, PRE 14A, S-1, S-1/A, S-3, S-3ASR, S-4, S-4/A, S-8, SC 13D, SC 13D/A, SC 13G, SC 13G/A, SCHEDULE 13D/A, SCHEDULE 13G, SCHEDULE 13G/A, UPLOAD",ARKK|ARKQ|ARKX,5,15,domestic_filer
ADPT,00650F109,ADAPTIVE BIOTECHNOLOGIES,ADPT,0001478320,Adaptive Biotechnologies Corp,verified,https://data.sec.gov/submissions/CIK0001478320.json,"10-K, 10-Q, 144, 144/A, 3, 4, 4/A, 8-K, ARS, DEF 14A, DEFA14A, S-8, SC 13G, SC 13G/A, SCHEDULE 13G, SCHEDULE 13G/A",ARKG,5,15,domestic_filer
ADYEN,BZ1HM42,ADYEN NV,ADYEN,0001788707,Adyen N.V./ADR,verified,https://data.sec.gov/submissions/CIK0001788707.json,"F-6 POS, F-6EF, SC 13G, SCHEDULE 13G/A",ARKF,0,0,no_10x_filings
AIR,4012250,AIRBUS SE,AIR,0001697546,AIRBUS SE,verified,https://data.sec.gov/submissions/CIK0001697546.json,D,ARKX,0,0,no_10x_filings
ALMR,010911105,ALAMAR BIOSCIENCES INC,ALMR,0002104204,"Alamar Biosciences, Inc.",verified,https://data.sec.gov/submissions/CIK0002104204.json,,ARKG,0,0,no_10x_filings
